state,city,1.0,2.0,3.0,4.0,5.0
Arizona,Phoenix,Fraxinus velutina,Syagrus romanzoffiana,Cercidium floridum,Fraxinus,Citrus paradisi
California,Anaheim,Magnolia grandiflora,Washingtonia robusta,Lagerstroemia indica,Cinnamomum camphora,Pinus canariensis
California,Fresno,Cedrus deodara,Pistacia chinensis,Quercus lobata,Ulmus parvifolia,Quercus coccinea
California,Garden Grove,Lagerstroemia indica,Lophostemon confertus,Cupaniopsis anacardioides,Pinus canariensis,Syagrus romanzoffianum
California,Huntington Beach,Syagrus romanzoffianum,Washingtonia robusta,Lagerstroemia indica,Eucalyptus camaldulensis,Archontophoenix cunninghamiana
California,Irvine,Pinus canariensis,Eucalyptus globulus,Eucalyptus maculata,Tristaniopsis Brongn.,Pinus brutia
California,Los Angeles,Washingtonia robusta,Lagerstroemia indica,Magnolia grandiflora,Liquidambar styraciflua,Ficus microcarpa
California,Ontario,Lagerstroemia indica,Liquidambar styraciflua,Cinnamomum camphora,Platanus acerifolia,Pinus canariensis
California,Rancho Cucamonga,Lagerstroemia indica,Platanus acerifolia,Eucalyptus globulus,Magnolia grandiflora,Pyrus calleryana
California,Sacramento,Platanus acerifolia,Pistacia chinensis,Pyrus calleryana,Lagerstroemia indica,Ulmus parvifolia
California,San Diego,Syagrus romanzoffianum,Washingtonia robusta,Cupaniopsis anacardioides,Eucalyptus,Pinus
California,San Francisco,Platanus acerifolia,Metrosideros excelsa,Tristaniopsis laurina,Lophostemon confertus,Magnolia grandiflora
California,Santa Rosa,Quercus,Sequoia sempervirens,Abies,Acer,Platanus acerifolia
California,Stockton,Pistacia chinensis,Platanus acerifolia,Lagerstroemia indica,Celtis sinensis,Pyrus calleryana
Colorado,Aurora,Gleditsia triacanthos,Tilia,Fraxinus pennsylvanica,Acer platanoides,Acer saccharinum
Colorado,Colorado Springs,Pinus ponderosa,Fraxinus pennsylvanica,Acer saccharinum,Picea pungens,Ulmus pumila
Colorado,Denver,Fraxinus pennsylvanica,Gleditsia triacanthos,Tilia cordata,Acer saccharinum,Fraxinus americana
District of Columbia,Washington DC,Acer rubrum,Quercus phellos,Ulmus americana,Quercus palustris,Zelkova serrata
Florida,Cape Coral,Sabal palmetto,Quercus virginiana,Pinus elliottii,Taxodium distichum,Quercus laurifolia
Florida,Lutz,Quercus virginiana,,,,
Florida,Miami,Pinus elliottii,Sabal palmetto,Adonidia merrillii,Eugenia,Musa acuminata
Florida,Orlando,Quercus virginiana,Lagerstroemia indica,Quercus laurifolia,Sabal palmetto,Ulmus parvifolia
Florida,Seffner,Quercus laurifolia,Quercus nigra,Quercus virginiana,Ulmus parvifolia,
Florida,Tampa,Quercus virginiana,Quercus geminata,Lagerstroemia indica,Sabal palmetto,Pinus elliottii
Florida,Temple Terrace,Quercus geminata,Quercus laevis,Platanus occidentalis,Quercus incana,
Hawaii,Ahuimanu,Lagerstroemia indica,Delonix regia,Harpullia pendula,Plumeria,
Hawaii,Aiea,Albizia saman,,,,
Hawaii,Heeia,Lagerstroemia indica,,,,
Hawaii,Honolulu,Albizia saman,Cocos nucifera,Cassia nealiae,Tabebuia heterophylla,Acacia confusa
Hawaii,Kailua,Adonidia merrillii,Cocos nucifera,Tabebuia heterophylla,Casuarina equisetifolia,Conocarpus erectus
Hawaii,Kaneohe,Adonidia merrillii,Cassia nealiae,Tabebuia heterophylla,Lagerstroemia indica,Cocos nucifera
Hawaii,Waipahu,Cassia nealiae,Lagerstroemia speciosa,Cassia fistula,Harpullia pendula,
Iowa,Adair,Acer saccharinum,Fraxinus pennsylvanica,Acer platanoides,Picea pungens,Acer saccharum
Iowa,Adel,Fraxinus pennsylvanica,Acer saccharinum,Malus,Acer nigrum,Pyrus
Iowa,Baxter,Acer saccharum,Acer saccharinum,Juniperus virginiana,Picea pungens,Quercus rubra
Iowa,Bayard,Fraxinus pennsylvanica,Acer saccharinum,Acer saccharum,Acer platanoides,Celtis occidentalis
Iowa,Bondurant,Malus,Catalpa,Fraxinus pennsylvanica,Acer saccharinum,Pinus sylvestris
Iowa,Bouton,Fraxinus pennsylvanica,Acer saccharinum,Celtis occidentalis,Populus tremuloides,Gleditsia triacanthos
Iowa,Carlisle,Celtis occidentalis,Fraxinus,Juglans nigra,Quercus rubra,Pinus strobus
Iowa,Colfax,Acer saccharinum,Acer saccharum,Fraxinus,Acer,Gleditsia triacanthos
Iowa,Coon Rapids,Fraxinus pennsylvanica,Acer platanoides,Acer saccharinum,Quercus rubra,Tilia cordata
Iowa,Dallas Center,Fraxinus pennsylvanica,Acer saccharinum,Acer saccharum,Acer platanoides,Pinus strobus
Iowa,De Soto,Juglans nigra,Acer negundo,Ulmus pumila,Fraxinus pennsylvanica,Acer saccharinum
Iowa,Des Moines,Gymnocladus dioicus,Quercus,Quercus alba,Ulmus americana,Malus
Iowa,Dexter,Malus,Fraxinus,Acer saccharum,Acer saccharinum,Acer platanoides
Iowa,Earlham,Malus,Acer saccharum,Fraxinus pennsylvanica,Acer rubrum,Acer saccharinum
Iowa,Elkhart,Acer saccharinum,Fraxinus pennsylvanica,Quercus macrocarpa,Malus,Acer
Iowa,Granger,Fraxinus pennsylvanica,Acer saccharinum,Malus,Acer platanoides,Quercus rubra
Iowa,Guthrie Center,Acer saccharum,Fraxinus pennsylvanica,Acer saccharinum,Acer platanoides,Celtis occidentalis
Iowa,Hartford,Acer saccharinum,Celtis occidentalis,Acer platanoides,Juglans nigra,Morus
Iowa,Kellogg,Juglans nigra,Acer saccharinum,Fraxinus pennsylvanica,Acer saccharum,Picea
Iowa,Milo,Fraxinus,Malus,Acer saccharinum,Acer ginnala,Acer saccharum
